start,end,type,authorL,titleL,authorH,titleH,eolL,eolH
 9:00,11:00,smallbreak,,Optional Pre-Conference Workshops,,Optional Pre-Conference Workshops,,
12:15,12:30,normalbreak,,Welcome and opening remarks,,Welcome and opening remarks,,
12:30,13:20,keynote,Faber,TBA,Faber,TBA,,
13:20,13:40,talk,Boudt,Intraday Liquidity Dynamics Of The DJIA Around Price Jumps,Boudt,Intraday Liquidity Dynamics Of The DJIA Around Price Jumps,,
13:40,14:00,talk,Dunand-Ch\^{a}tellet,Mutually Exciting Hawkes Processes $\ldots$,Dunand-Chatellet,Mutually Exciting Hawkes Processes ...,,
14:00,14:20,talk,Kane,Evaluating the Effect of FINRA's New Circuit Breaker Regulation,Kane,Evaluating the Effect of FINRA's New Circuit Breaker Regulation,,
14:20,14:50,smallbreak,,Break,,Break,,
14:50,15:40,keynote,Iacus,TBA,Iacus,TBA,,
15:40,16:00,talk,Switanek,The Impact of News Readability on Market Response Times,Switanek,The Impact of News Readability on Market Response Times,,
16:00,16:20,smallbreak,,Break,,Break,,
16:20,16:40,talk,Lewis,The \emph{betfair} Package,Lewis,The betfair Package,,
16:40,17:00,talk,Kumar,Carry Trades - Don't Get Carried Away,Kumar,Carry Trades - Don't Get Carried Away,,
17:00,17:30,lightning,Nelson,Beyond Vignettes: Dexy for Documenting R and More,Nelson,Beyond Vignettes: Dexy for Documenting R and More,,
     ,     ,lightning,Rothermich,Alt.~Data Sources for Measuring Market Sentiment and Events,Rothermich,Alt.~Data Sources for Measuring Market Sentiment and Events,,
     ,     ,lightning,Long,The \emph{Segue} Package for R,Long,The Segue Package for R,,
17:30,22:00,normalbreak,,Conference Reception and Dinner (East Terrace and Rivers Restaurant),,Conference Reception and Dinner (East Terrace and Rivers Restaurant),,
